tiempo_s,tiempo,posicion_norte,slow_cart,slow_end_tower,torre_0_x,torre_0_y,tramo_1_L_calculado,tramo_1_deform_m,tramo_1_desv_y,tramo_1_rumbo_deg,torre_1_x,torre_1_y,tramo_2_L_calculado,tramo_2_deform_m,tramo_2_desv_y,tramo_2_rumbo_deg,torre_2_x,torre_2_y,tramo_3_L_calculado,tramo_3_deform_m,tramo_3_desv_y,tramo_3_rumbo_deg,torre_3_x,torre_3_y,lat_e7,lon_e7,EΔd_mm,EΔrumbo_deg
1,00h 00m 01s,0.024,False,False,-0.0001,0.049,50.0001,-0.0001,-0.0489,-0.056,50.0,0.0001,50.0,0.0,-0.0003,-0.0003,100.0,-0.0001,50.0004,-0.0004,0.0483,0.0553,150.0004,0.0482,,,3.8,
2,00h 00m 02s,0.049,False,False,-0.0004,0.0979,50.0005,-0.0005,-0.0977,-0.1119,50.0,0.0003,50.0,0.0,-0.0006,-0.0006,100.0,-0.0003,49.9989,0.0011,0.0965,0.1106,149.9988,0.0962,,,3.8,
3,00h 00m 03s,0.116,False,False,0.0011,0.1469,49.999,0.001,-0.0613,-0.0703,50.0001,0.0856,50.0,0.0,-0.0008,-0.0009,100.0001,0.0849,49.999,0.001,0.0598,0.0685,149.9991,0.1447,,,7.0,
4,00h 00m 04s,0.182,False,False,0.001,0.1962,49.9984,0.0016,-0.0259,-0.0296,49.9994,0.1703,50.0,0.0,-0.0011,-0.0012,99.9994,0.1693,49.9984,0.0016,0.0237,0.0271,149.9978,0.1929,,,10.9,
5,00h 00m 05s,0.249,False,False,0.0005,0.2449,49.9988,0.0012,0.0101,0.0116,49.9993,0.2551,50.0,0.0,-0.001,-0.0012,99.9993,0.2541,49.9987,0.0013,-0.0122,-0.0139,149.998,0.2419,,,14.3,
6,00h 00m 06s,0.316,False,False,0.0007,0.2938,49.9986,0.0014,0.0467,0.0535,49.9993,0.3405,50.0,0.0,-0.0012,-0.0013,99.9993,0.3394,49.9986,0.0014,-0.049,-0.0561,149.9978,0.2904,,,17.6,
7,00h 00m 07s,0.383,False,False,0.0007,0.3428,49.9986,0.0014,0.0832,0.0953,49.9993,0.426,50.0,0.0,-0.0014,-0.0016,99.9993,0.4246,49.9986,0.0014,-0.086,-0.0985,149.9978,0.3386,,,20.8,
8,00h 00m 08s,0.45,False,False,0.0003,0.3916,49.9993,0.0007,0.1189,0.1363,49.9995,0.5105,50.0,0.0,-0.0014,-0.0016,99.9995,0.5091,49.9992,0.0008,-0.1218,-0.1396,149.9985,0.3873,,,23.9,-2.26
9,00h 00m 09s,0.517,False,False,-0.0007,0.4403,49.9996,0.0004,0.1556,0.1783,49.9987,0.596,50.0,0.0,-0.0015,-0.0017,99.9987,0.5945,49.9995,0.0005,-0.1586,-0.1817,149.998,0.4359,,,27.9,-2.26
10,00h 00m 10s,0.541,False,False,-0.0003,0.4893,49.9991,0.0009,0.1066,0.1222,49.9987,0.596,50.0,0.0,-0.0015,-0.0017,99.9987,0.5945,49.999,0.001,-0.1097,-0.1257,149.9976,0.4848,,,27.9,-2.26
11,00h 00m 11s,0.566,False,False,-0.0004,0.5383,49.9991,0.0009,0.0577,0.0661,49.9987,0.596,50.0,0.0,-0.0016,-0.0018,99.9987,0.5944,49.9989,0.0011,-0.0608,-0.0697,149.9975,0.5337,,,27.9,-2.26
12,00h 00m 12s,0.59,False,False,0.0003,0.5873,49.9984,0.0016,0.0088,0.0101,49.9987,0.596,50.0,0.0,-0.0017,-0.0019,99.9987,0.5944,49.9992,0.0008,-0.0121,-0.0139,149.9979,0.5823,,,27.9,-2.26
13,00h 00m 13s,0.614,False,False,0.0012,0.6363,49.9975,0.0025,-0.0402,-0.046,49.9987,0.5962,50.0,0.0,-0.0019,-0.0022,99.9987,0.5943,49.9998,0.0002,0.0364,0.0417,149.9985,0.6306,,,28.0,-2.26
14,00h 00m 14s,0.639,False,False,0.0008,0.6851,49.998,0.002,-0.0889,-0.1019,49.9987,0.5962,50.0,0.0,-0.002,-0.0023,99.9987,0.5942,50.0005,-0.0005,0.0848,0.0972,149.9991,0.6791,,,28.0,-2.26
15,00h 00m 15s,0.706,False,False,0.0019,0.7342,49.9987,0.0013,-0.0527,-0.0604,50.0006,0.6815,50.0,0.0,-0.0022,-0.0025,100.0006,0.6794,49.9987,0.0013,0.0484,0.0554,149.9993,0.7277,,,29.4,-2.26
16,00h 00m 16s,0.773,False,False,0.0017,0.7832,49.9986,0.0014,-0.0168,-0.0193,50.0003,0.7664,50.0,0.0,-0.0022,-0.0025,100.0003,0.7643,49.9986,0.0014,0.0125,0.0143,149.999,0.7767,,,32.9,-2.26
17,00h 00m 17s,0.84,False,False,0.0012,0.8322,49.9989,0.0011,0.0193,0.0221,50.0001,0.8515,50.0,0.0,-0.0023,-0.0026,100.0001,0.8492,49.9989,0.0011,-0.0238,-0.0273,149.9989,0.8254,,,36.4,-2.26
18,00h 00m 18s,0.907,False,False,0.0008,0.8809,49.9992,0.0008,0.0558,0.0639,50.0,0.9367,50.0,0.0,-0.0022,-0.0025,100.0,0.9345,49.9992,0.0008,-0.0602,-0.069,149.9991,0.8743,,,39.8,-2.26
19,00h 00m 19s,0.974,False,False,0.0009,0.9299,49.9994,0.0006,0.0919,0.1053,50.0003,1.0218,50.0,0.0,-0.0024,-0.0027,100.0003,1.0195,49.9994,0.0006,-0.0966,-0.1107,149.9996,0.9228,,,42.7,-2.11
20,00h 00m 20s,1.041,False,False,0.0009,0.9788,49.9996,0.0004,0.1288,0.1476,50.0004,1.1076,50.0,0.0,-0.0026,-0.003,100.0004,1.105,49.9995,0.0005,-0.134,-0.1535,149.9997,0.971,,,45.9,-2.11
21,00h 00m 21s,1.108,False,False,0.0005,1.0276,49.9994,0.0006,0.1658,0.19,49.9996,1.1934,50.0,0.0,-0.0027,-0.003,99.9996,1.1907,49.9993,0.0007,-0.1711,-0.1961,149.9987,1.0196,,,49.9,-2.11
