tiempo_s,tiempo,posicion_norte,slow_cart,slow_end_tower,torre_0_x,torre_0_y,tramo_1_L_calculado,tramo_1_deform_m,tramo_1_desv_y,tramo_1_rumbo_deg,torre_1_x,torre_1_y,tramo_2_L_calculado,tramo_2_deform_m,tramo_2_desv_y,tramo_2_rumbo_deg,torre_2_x,torre_2_y,tramo_3_L_calculado,tramo_3_deform_m,tramo_3_desv_y,tramo_3_rumbo_deg,torre_3_x,torre_3_y,lat_e7,lon_e7,EΔd_mm,EΔrumbo_deg
1,00h 00m 01s,0.024,False,False,-0.0003,0.0483,50.0003,-0.0003,-0.0483,-0.0553,50.0,0.0,50.0,0.0,-0.0,-0.0,100.0,-0.0,50.0001,-0.0001,0.0482,0.0553,150.0001,0.0482,,,3.8,
2,00h 00m 02s,0.048,False,False,-0.0005,0.0969,50.0006,-0.0006,-0.0969,-0.111,50.0,0.0001,50.0,0.0,-0.0001,-0.0001,100.0,-0.0001,49.9996,0.0004,0.0966,0.1107,149.9995,0.0966,,,3.8,
3,00h 00m 03s,0.115,False,False,-0.0002,0.1451,49.9997,0.0003,-0.0595,-0.0681,49.9994,0.0856,50.0,0.0,-0.0,-0.0,99.9994,0.0856,49.9997,0.0003,0.0594,0.0681,149.9991,0.145,,,7.7,
4,00h 00m 04s,0.183,False,False,-0.0007,0.1938,49.9993,0.0007,-0.0226,-0.0259,49.9986,0.1712,50.0,0.0,0.0,0.0,99.9986,0.1712,49.9993,0.0007,0.0226,0.0259,149.9979,0.1938,,,11.7,
5,00h 00m 05s,0.249,False,False,-0.0003,0.2418,49.9989,0.0011,0.0151,0.0173,49.9986,0.2568,50.0,0.0,0.0001,0.0001,99.9986,0.2569,49.9989,0.0011,-0.0148,-0.017,149.9975,0.2421,,,15.1,
6,00h 00m 06s,0.317,False,False,0.0001,0.2899,49.9988,0.0012,0.0527,0.0604,49.9989,0.3426,50.0,0.0,0.0003,0.0003,99.9989,0.3429,49.9988,0.0012,-0.0521,-0.0598,149.9976,0.2908,,,18.1,
7,00h 00m 07s,0.384,False,False,-0.0003,0.3381,49.9986,0.0014,0.0905,0.1037,49.9982,0.4286,50.0,0.0,0.0004,0.0004,99.9982,0.429,49.9986,0.0014,-0.0897,-0.1028,149.9967,0.3393,,,22.0,
8,00h 00m 08s,0.451,False,False,0.0,0.3865,49.9986,0.0014,0.1274,0.146,49.9985,0.5138,50.0,0.0,0.0004,0.0004,99.9985,0.5142,49.9986,0.0014,-0.1267,-0.1452,149.9969,0.3875,,,25.0,-2.37
9,00h 00m 09s,0.518,False,False,0.0009,0.4348,49.9983,0.0017,0.1649,0.189,49.9989,0.5997,50.0,0.0,0.0005,0.0006,99.9989,0.6002,49.9982,0.0018,-0.1638,-0.1877,149.9969,0.4364,,,27.9,-2.37
10,00h 00m 10s,0.542,False,False,0.0014,0.4829,49.9977,0.0023,0.1167,0.1337,49.9989,0.5996,50.0,0.0,0.0006,0.0007,99.9989,0.6002,49.9994,0.0006,-0.1154,-0.1322,149.9982,0.4848,,,27.9,-2.37
11,00h 00m 11s,0.566,False,False,0.0019,0.5313,49.9971,0.0029,0.0682,0.0782,49.9989,0.5995,50.0,0.0,0.0008,0.0009,99.9989,0.6003,49.9991,0.0009,-0.0667,-0.0764,149.998,0.5336,,,27.9,-2.37
12,00h 00m 12s,0.591,False,False,0.0016,0.5799,49.9973,0.0027,0.0196,0.0225,49.9989,0.5995,50.0,0.0,0.0009,0.001,99.9989,0.6004,49.9995,0.0005,-0.0178,-0.0204,149.9984,0.5826,,,27.9,-2.37
13,00h 00m 13s,0.615,False,False,0.0016,0.6281,49.9974,0.0026,-0.0287,-0.0329,49.9989,0.5994,50.0,0.0,0.0011,0.0012,99.9989,0.6005,49.9987,0.0013,0.0308,0.0353,149.9976,0.6313,,,27.9,-2.37
14,00h 00m 14s,0.639,False,False,0.0009,0.6763,49.9981,0.0019,-0.077,-0.0883,49.9989,0.5993,50.0,0.0,0.0013,0.0015,99.9989,0.6006,49.9986,0.0014,0.0796,0.0913,149.9974,0.6802,,,27.9,-2.37
15,00h 00m 15s,0.706,False,False,0.0014,0.7248,49.9982,0.0018,-0.0398,-0.0456,49.9996,0.685,50.0,0.0,0.0012,0.0014,99.9996,0.6862,49.9982,0.0018,0.0423,0.0484,149.9979,0.7285,,,30.4,-2.37
