tiempo_s,tiempo,posicion_norte,slow_cart,slow_end_tower,torre_0_x,torre_0_y,tramo_1_L_calculado,tramo_1_deform_m,tramo_1_desv_y,tramo_1_rumbo_deg,torre_1_x,torre_1_y,tramo_2_L_calculado,tramo_2_deform_m,tramo_2_desv_y,tramo_2_rumbo_deg,torre_2_x,torre_2_y,tramo_3_L_calculado,tramo_3_deform_m,tramo_3_desv_y,tramo_3_rumbo_deg,torre_3_x,torre_3_y,lat_e7,lon_e7,EΔd_mm,EΔrumbo_deg
16,00h 00m 16s,0.773,False,False,0.0003,0.7735,49.9988,0.0012,-0.0028,-0.0032,49.9992,0.7707,50.0,0.0,0.0012,0.0014,99.9992,0.772,49.9988,0.0012,0.0053,0.006,149.998,0.7773,,,34.2,-2.37
17,00h 00m 17s,0.841,False,False,0.0006,0.8222,49.9984,0.0016,0.0345,0.0395,49.9989,0.8567,50.0,0.0,0.0012,0.0013,99.9989,0.8579,49.9983,0.0017,-0.0322,-0.0369,149.9972,0.8257,,,37.7,-2.37
18,00h 00m 18s,0.908,False,False,0.0,0.8707,49.9989,0.0011,0.0716,0.0821,49.9989,0.9424,50.0,0.0,0.0011,0.0013,99.9989,0.9435,49.9988,0.0012,-0.0694,-0.0795,149.9976,0.8741,,,41.1,-2.37
19,00h 00m 19s,0.975,False,False,0.0003,0.9194,49.9988,0.0012,0.109,0.1249,49.999,1.0284,50.0,0.0,0.001,0.0012,99.999,1.0294,49.9987,0.0013,-0.1069,-0.1225,149.9976,0.9225,,,44.3,-2.15
20,00h 00m 20s,1.042,False,True,0.0004,0.9681,49.9994,0.0006,0.1459,0.1672,49.9996,1.114,50.0,0.0,0.0011,0.0013,99.9996,1.1151,49.9993,0.0007,-0.1437,-0.1647,149.9988,0.9714,,,46.9,-2.15
21,00h 00m 21s,1.109,False,False,0.0009,1.0165,49.9991,0.0009,0.1835,0.2103,49.9997,1.2,50.0,0.0,0.0011,0.0012,99.9997,1.2011,49.9991,0.0009,-0.1813,-0.2078,149.9985,1.0197,,,50.1,-2.15
22,00h 00m 22s,1.134,False,False,0.0009,1.0645,49.999,0.001,0.1353,0.155,49.9997,1.1998,50.0,0.0,0.0014,0.0016,99.9997,1.2012,49.9997,0.0003,-0.1324,-0.1518,149.9993,1.0688,,,50.1,-2.15
23,00h 00m 23s,1.158,False,False,0.0011,1.1132,49.9987,0.0013,0.0867,0.0994,49.9997,1.1999,50.0,0.0,0.0013,0.0015,99.9997,1.2012,49.9987,0.0013,-0.0841,-0.0964,149.9984,1.117,,,50.1,-2.15
24,00h 00m 24s,1.182,False,False,-0.0004,1.1611,50.0002,-0.0002,0.0386,0.0442,49.9997,1.1997,50.0,0.0,0.0016,0.0018,99.9997,1.2013,49.9986,0.0014,-0.0355,-0.0407,149.9984,1.1658,,,50.1,-2.15
25,00h 00m 25s,1.206,False,False,-0.0009,1.2092,50.0006,-0.0006,-0.0095,-0.0109,49.9997,1.1997,50.0,0.0,0.0017,0.002,99.9997,1.2014,49.9999,0.0001,0.013,0.0149,149.9996,1.2144,,,50.1,-2.15
26,00h 00m 26s,1.23,False,False,-0.0015,1.258,50.0013,-0.0013,-0.0582,-0.0667,49.9997,1.1997,50.0,0.0,0.0016,0.0018,99.9997,1.2013,50.0004,-0.0004,0.0613,0.0703,150.0002,1.2626,,,50.1,-2.15
27,00h 00m 27s,1.297,False,False,-0.0015,1.3059,50.0008,-0.0008,-0.0211,-0.0242,49.9993,1.2849,50.0,0.0,0.0017,0.002,99.9993,1.2866,50.0008,-0.0008,0.0245,0.0281,150.0001,1.3111,,,53.8,-2.15
28,00h 00m 28s,1.364,False,False,-0.0019,1.3546,50.0006,-0.0006,0.0158,0.0181,49.9987,1.3704,50.0,0.0,0.0016,0.0019,99.9987,1.372,50.0006,-0.0006,-0.0125,-0.0144,149.9992,1.3595,,,57.7,-2.15
29,00h 00m 29s,1.432,False,True,-0.0013,1.4028,49.9998,0.0002,0.0536,0.0614,49.9985,1.4564,50.0,0.0,0.0019,0.0022,99.9985,1.4583,49.9997,0.0003,-0.0498,-0.0571,149.9982,1.4086,,,61.2,-2.15
30,00h 00m 30s,1.487,False,True,-0.0013,1.4028,49.9997,0.0003,0.1316,0.1508,49.9982,1.5344,50.0,0.0,0.0183,0.0209,99.9982,1.5527,49.9997,0.0003,-0.0951,-0.109,149.9978,1.4576,,,64.4,-2.28
31,00h 00m 31s,1.542,False,True,-0.0013,1.4028,50.0003,-0.0003,0.2086,0.2391,49.9985,1.6114,50.0,0.0,0.0345,0.0396,99.9985,1.646,50.0002,-0.0002,-0.1396,-0.16,149.9986,1.5064,,,67.1,-2.28
32,00h 00m 32s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
33,00h 00m 33s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
34,00h 00m 34s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
35,00h 00m 35s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
36,00h 00m 36s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
37,00h 00m 37s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
38,00h 00m 38s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
39,00h 00m 39s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
40,00h 00m 40s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
41,00h 00m 41s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
42,00h 00m 42s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
43,00h 00m 43s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
44,00h 00m 44s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
45,00h 00m 45s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
46,00h 00m 46s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
47,00h 00m 47s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
48,00h 00m 48s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
49,00h 00m 49s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
50,00h 00m 50s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
51,00h 00m 51s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
52,00h 00m 52s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
53,00h 00m 53s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
54,00h 00m 54s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
55,00h 00m 55s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
56,00h 00m 56s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
57,00h 00m 57s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
58,00h 00m 58s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
59,00h 00m 59s,1.554,False,True,-0.0013,1.4028,50.0002,-0.0002,0.2006,0.2298,49.9986,1.6034,50.0,0.0,0.0506,0.058,99.9985,1.654,49.9995,0.0005,-0.0993,-0.1138,149.9979,1.5547,,,66.8,-2.28
60,00h 01m 00s,1.566,False,True,-0.0017,1.4511,50.0005,-0.0005,0.1603,0.1837,49.9985,1.6114,50.0,0.0,0.0345,0.0396,99.9985,1.646,49.9995,0.0005,-0.0913,-0.1046,149.9979,1.5547,,,67.1,-2.28
61,00h 01m 01s,1.578,False,True,-0.0002,1.4999,49.9989,0.0011,0.1197,0.1371,49.9985,1.6196,50.0,0.0,0.0183,0.0209,99.9985,1.6378,49.9995,0.0005,-0.0831,-0.0953,149.9979,1.5547,,,67.4,-2.28
62,00h 01m 02s,1.59,False,True,-0.0002,1.5484,49.9988,0.0012,0.0793,0.0908,49.9985,1.6276,50.0,0.0,0.0021,0.0024,99.9985,1.6298,49.9994,0.0006,-0.075,-0.086,149.9979,1.5547,,,67.7,-2.28
63,00h 01m 03s,1.602,False,True,-0.0006,1.5964,49.9991,0.0009,0.0392,0.045,49.9985,1.6357,50.0,0.0,-0.0139,-0.0159,99.9985,1.6218,49.9994,0.0006,-0.067,-0.0768,149.9979,1.5547,,,68.0,-2.28
64,00h 01m 04s,1.614,False,True,0.0002,1.6449,49.9983,0.0017,-0.0011,-0.0013,49.9985,1.6437,50.0,0.0,-0.0301,-0.0344,99.9985,1.6137,49.9994,0.0006,-0.059,-0.0676,149.9979,1.5547,,,68.3,-2.28
65,00h 01m 05s,1.626,False,True,0.0,1.6938,49.9985,0.0015,-0.0419,-0.048,49.9985,1.6519,50.0,0.0,-0.0464,-0.0531,99.9985,1.6055,49.9994,0.0006,-0.0508,-0.0582,149.9979,1.5547,,,68.6,-2.28
66,00h 01m 06s,1.639,False,True,-0.0,1.7419,49.9987,0.0013,-0.082,-0.094,49.9986,1.6599,50.0,0.0,-0.0624,-0.0715,99.9985,1.5975,49.9994,0.0006,-0.0428,-0.049,149.9979,1.5547,,,68.9,-2.28
67,00h 01m 07s,1.651,False,True,-0.0007,1.7901,49.9994,0.0006,-0.1222,-0.14,49.9986,1.6679,50.0,0.0,-0.0785,-0.0899,99.9985,1.5895,49.9994,0.0006,-0.0348,-0.0398,149.9979,1.5547,,,69.2,-2.28
68,00h 01m 08s,1.663,False,True,-0.0004,1.839,49.9993,0.0007,-0.1629,-0.1867,49.9986,1.6761,50.0,0.0,-0.0948,-0.1086,99.9985,1.5813,49.9994,0.0006,-0.0266,-0.0305,149.9979,1.5547,,,69.5,-2.28
69,00h 01m 09s,1.693,False,True,-0.0002,1.8869,49.9996,0.0004,-0.1658,-0.19,49.9991,1.7211,50.0,0.0,-0.1107,-0.1269,99.999,1.6103,49.999,0.001,-0.0556,-0.0637,149.9979,1.5547,,,70.7,-2.28
70,00h 01m 10s,1.724,False,True,0.0003,1.9355,49.9996,0.0004,-0.1692,-0.1939,49.9996,1.7663,50.0,0.0,-0.1269,-0.1455,99.9995,1.6394,49.9985,0.0015,-0.0846,-0.097,149.9979,1.5547,,,71.9,-2.28
71,00h 01m 11s,1.755,False,True,0.0003,1.9842,49.9999,0.0001,-0.173,-0.1982,49.9999,1.8113,50.0,0.0,-0.1432,-0.1641,99.9997,1.6681,49.9984,0.0016,-0.1134,-0.1299,149.9979,1.5547,,,73.4,-2.28
72,00h 01m 12s,1.798,False,False,0.0003,2.033,50.0,0.0,-0.1846,-0.2115,50.0,1.8484,50.0,0.0,-0.1432,-0.164,99.9998,1.7052,49.9977,0.0023,-0.1017,-0.1166,149.9974,1.6035,,,74.7,-2.28
73,00h 01m 13s,1.84,False,False,0.0009,2.0816,49.9998,0.0002,-0.1962,-0.2249,50.0003,1.8854,50.0,0.0,-0.1433,-0.1642,100.0001,1.7421,49.9972,0.0028,-0.0902,-0.1034,149.9972,1.6519,,,75.8,-2.28
74,00h 01m 14s,1.907,False,False,0.0017,2.1299,49.9981,0.0019,-0.1596,-0.1828,49.9995,1.9704,50.0,0.0,-0.1431,-0.164,99.9993,1.8272,49.9981,0.0019,-0.1267,-0.1452,149.9972,1.7005,,,79.9,-2.28
75,00h 01m 15s,1.974,False,False,0.0027,2.1786,49.9975,0.0025,-0.1229,-0.1409,50.0,2.0557,50.0,0.0,-0.143,-0.1639,99.9998,1.9127,49.9974,0.0026,-0.1631,-0.1869,149.997,1.7496,,,82.7,-2.0
76,00h 01m 16s,2.041,False,True,0.0019,2.2267,49.998,0.002,-0.086,-0.0986,49.9998,2.1407,50.0,0.0,-0.1428,-0.1636,99.9996,1.9979,49.998,0.002,-0.1995,-0.2286,149.9972,1.7984,,,86.1,-2.0
77,00h 01m 17s,2.108,False,True,0.0022,2.2751,49.9979,0.0021,-0.0488,-0.056,50.0002,2.2263,50.0,0.0,-0.1426,-0.1635,100.0,2.0836,49.9979,0.0021,-0.2364,-0.2709,149.9973,1.8472,,,89.1,-2.0
78,00h 01m 18s,2.175,False,True,0.0024,2.3231,49.9985,0.0015,-0.0115,-0.0131,50.0008,2.3116,50.0,0.0,-0.1425,-0.1633,100.0006,2.1691,49.9984,0.0016,-0.2735,-0.3135,149.9983,1.8956,,,91.7,-2.0
79,00h 01m 19s,2.242,False,True,0.0009,2.3711,49.9997,0.0003,0.0261,0.0299,50.0006,2.3972,50.0,0.0,-0.1423,-0.1631,100.0004,2.2548,49.9996,0.0004,-0.3107,-0.3561,149.999,1.9441,,,95.2,-2.0
80,00h 01m 20s,2.266,False,True,0.0024,2.4197,49.9981,0.0019,-0.0225,-0.0257,50.0006,2.3972,50.0,0.0,-0.1424,-0.1632,100.0004,2.2548,50.0011,-0.0011,-0.2624,-0.3006,150.0008,1.9924,,,95.2,-2.0
81,00h 01m 21s,2.278,False,True,0.0019,2.4681,49.9987,0.0013,-0.0629,-0.072,50.0006,2.4053,50.0,0.0,-0.1586,-0.1817,100.0003,2.2467,50.0011,-0.0011,-0.2543,-0.2914,150.0008,1.9924,,,95.5,-2.0
82,00h 01m 22s,2.29,False,True,0.002,2.5164,49.9988,0.0012,-0.1031,-0.1182,50.0006,2.4133,50.0,0.0,-0.1747,-0.2002,100.0003,2.2386,50.0011,-0.0011,-0.2462,-0.2822,150.0008,1.9924,,,95.8,-2.0
83,00h 01m 23s,2.302,False,True,0.0029,2.5653,49.9979,0.0021,-0.1438,-0.1648,50.0006,2.4215,50.0,0.0,-0.191,-0.2188,100.0003,2.2305,50.0011,-0.0011,-0.2381,-0.2728,150.0008,1.9924,,,96.1,-2.0
84,00h 01m 24s,2.315,False,True,0.0043,2.6137,49.9967,0.0033,-0.1842,-0.2111,50.0007,2.4295,50.0,0.0,-0.2071,-0.2373,100.0002,2.2224,50.0011,-0.0011,-0.23,-0.2636,150.0008,1.9924,,,96.3,-2.0
85,00h 01m 25s,2.327,False,True,0.0044,2.6625,49.9968,0.0032,-0.2248,-0.2576,50.0007,2.4377,50.0,0.0,-0.2234,-0.256,100.0002,2.2143,50.0011,-0.0011,-0.2219,-0.2543,150.0008,1.9924,,,96.6,-2.0
86,00h 01m 26s,2.339,False,True,0.0052,2.7108,49.9963,0.0037,-0.2651,-0.3038,50.0007,2.4457,50.0,0.0,-0.2395,-0.2744,100.0002,2.2063,50.0011,-0.0011,-0.2138,-0.245,150.0008,1.9924,,,96.9,-2.0
87,00h 01m 27s,2.351,False,True,0.0057,2.7588,49.996,0.004,-0.3051,-0.3496,50.0008,2.4537,50.0,0.0,-0.2555,-0.2927,100.0001,2.1983,50.0011,-0.0011,-0.2058,-0.2359,150.0008,1.9924,,,97.2,-2.0
88,00h 01m 28s,2.363,False,True,0.0053,2.8075,49.9967,0.0033,-0.3457,-0.3962,50.0008,2.4618,50.0,0.0,-0.2717,-0.3114,100.0001,2.1901,50.0011,-0.0011,-0.1977,-0.2266,150.0008,1.9924,,,97.4,-2.0
89,00h 01m 29s,2.393,False,True,0.0055,2.8556,49.9984,0.0016,-0.3488,-0.3997,50.0027,2.5068,50.0,0.0,-0.2877,-0.3297,100.0019,2.2191,49.9994,0.0006,-0.2267,-0.2598,150.0008,1.9924,,,97.3,-2.0
90,00h 01m 30s,2.412,False,True,0.0055,2.8556,49.9992,0.0008,-0.3117,-0.3572,50.0038,2.5439,50.0,0.0,-0.2877,-0.3297,100.0029,2.2562,49.9986,0.0014,-0.2638,-0.3023,150.0008,1.9924,,,97.6,-2.0
91,00h 01m 31s,2.431,False,True,0.0055,2.8556,49.9996,0.0004,-0.2747,-0.3148,50.0044,2.5809,50.0,0.0,-0.2877,-0.3297,100.0035,2.2932,49.9982,0.0018,-0.3008,-0.3447,150.0008,1.9924,,,98.5,-1.72
92,00h 01m 32s,2.449,False,True,0.0055,2.8556,49.9998,0.0002,-0.2377,-0.2723,50.0048,2.618,50.0,0.0,-0.2877,-0.3297,100.0039,2.3302,49.998,0.002,-0.3378,-0.3871,150.0008,1.9924,,,99.5,-1.72
93,00h 01m 33s,2.468,False,True,0.0055,2.8556,49.9999,0.0001,-0.2007,-0.23,50.005,2.6549,50.0,0.0,-0.2877,-0.3297,100.0042,2.3672,49.998,0.002,-0.3748,-0.4295,150.0008,1.9924,,,100.6,-1.72
94,00h 01m 34s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
95,00h 01m 35s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
96,00h 01m 36s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
97,00h 01m 37s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
98,00h 01m 38s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
99,00h 01m 39s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
100,00h 01m 40s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
101,00h 01m 41s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
102,00h 01m 42s,2.486,False,True,0.0055,2.8556,49.9999,0.0001,-0.1638,-0.1877,50.0052,2.6918,50.0,0.0,-0.2877,-0.3297,100.0044,2.4041,49.9981,0.0019,-0.4116,-0.4717,150.0008,1.9924,,,101.9,-1.72
