tiempo_s,tiempo,posicion_norte,slow_cart,slow_end_tower,torre_0_x,torre_0_y,tramo_1_L_calculado,tramo_1_deform_m,tramo_1_desv_y,tramo_1_rumbo_deg,torre_1_x,torre_1_y,tramo_2_L_calculado,tramo_2_deform_m,tramo_2_desv_y,tramo_2_rumbo_deg,torre_2_x,torre_2_y,tramo_3_L_calculado,tramo_3_deform_m,tramo_3_desv_y,tramo_3_rumbo_deg,torre_3_x,torre_3_y,tramo_4_L_calculado,tramo_4_deform_m,tramo_4_desv_y,tramo_4_rumbo_deg,torre_4_x,torre_4_y,tramo_5_L_calculado,tramo_5_deform_m,tramo_5_desv_y,tramo_5_rumbo_deg,torre_5_x,torre_5_y,lat_e7,lon_e7,EΔd_mm,EΔrumbo_deg
60,00h 01m 00s,1.5,False,False,-0.0002,1.4594,50.0001,-0.0001,0.0172,0.0198,49.9999,1.4766,50.0015,-0.0015,0.0657,0.0753,100.0014,1.5423,50.0,0.0,0.0045,0.0052,150.0014,1.5468,50.0014,-0.0014,-0.0549,-0.0629,200.0028,1.4919,50.0007,-0.0007,-0.0098,-0.0113,250.0034,1.4821,,,,
120,00h 02m 00s,2.958,False,False,0.0006,2.9186,49.9994,0.0006,0.0352,0.0404,49.9999,2.9539,50.0007,-0.0007,0.0443,0.0507,100.0006,2.9981,50.0,0.0,0.0091,0.0105,150.0006,3.0073,50.0006,-0.0006,-0.0995,-0.114,200.0011,2.9078,49.9993,0.0007,0.0564,0.0647,250.0003,2.9642,,,,
